User Rating Count,Size,Subtitle_Available,Free_Price,Age_Rating,Description_Length,Genres_Count,Language_EN,Languages_Count,In_App_Count,In_App_Max
10.0,176918528.0,0,1,4,1056,3,1,1,0,0.0
17680.0,52412416.0,0,1,4,1621,4,1,8,0,0.0
44.0,562442240.0,1,1,4,589,4,1,1,10,2.99
19.0,27796480.0,0,1,4,193,4,1,1,0,0.0
22.0,103767040.0,0,1,9,1674,4,1,1,6,2.99
9.0,13668352.0,0,1,4,815,3,1,1,0,0.0
5.0,29645824.0,0,1,4,516,4,1,2,2,0.99
56.0,144526336.0,0,1,4,1484,4,1,1,7,19.99
2614.0,144777216.0,0,1,12,1061,2,1,1,10,4.99
43.0,30190143.0,0,1,4,1152,3,1,1,10,1.99
1016.0,103745536.0,0,1,12,1553,3,1,1,7,99.99
25.0,388948992.0,1,1,12,1026,4,1,1,7,14.99
5561.0,179540992.0,0,1,9,562,3,1,1,10,99.99
10.0,40931328.0,0,1,4,438,4,1,1,1,1.99
1081.0,57239060.0,0,1,4,645,3,1,6,2,4.99
7.0,15027200.0,0,1,12,2348,4,1,1,0,0.0
50.0,29192192.0,0,1,4,689,3,1,3,2,0.99
10.0,5406720.0,0,1,4,245,3,1,1,0,0.0
8.0,296841216.0,0,1,4,400,3,1,1,1,4.99
35.0,6328320.0,0,1,4,702,4,1,1,0,0.0
52.0,73129984.0,1,1,4,1501,4,1,1,1,1.99
11.0,206273536.0,0,1,4,146,3,1,7,0,0.0
188.0,518226944.0,0,0,12,1709,4,1,1,0,0.0
29.0,10977280.0,0,1,12,243,4,1,1,0,0.0
12.0,96993280.0,0,1,4,983,3,1,1,1,2.99
6370.0,85401600.0,0,1,9,933,4,1,8,10,99.99
59.0,155677696.0,1,1,9,2396,4,1,1,10,19.99
57.0,130755584.0,1,1,4,1151,3,1,1,8,14.99
7.0,75127808.0,0,1,12,649,4,1,1,0,0.0
185.0,96057079.0,0,1,4,1429,4,1,12,0,0.0
1456.0,27736030.0,0,1,9,1017,4,1,7,0,0.0
613.0,51909632.0,0,1,4,572,2,1,1,0,0.0
661.0,332187648.0,1,1,12,1881,3,1,1,10,24.99
14.0,106503168.0,0,1,4,562,3,1,1,0,0.0
1403.0,461049856.0,1,1,9,1355,4,1,21,10,19.99
81.0,30928896.0,0,0,4,547,4,1,16,0,0.0
98.0,49594368.0,1,0,4,1589,4,1,2,2,1.99
